fk_well,date,gwl
673,1995-04-03,161.24
673,1995-04-10,160.89
673,1995-04-17,160.58
673,1995-04-24,160.47
673,1995-05-01,160.66
673,1995-05-08,160.45
673,1995-05-15,160.31
673,1995-05-22,160.41
673,1995-05-29,160.34
673,1995-06-05,160.84
673,1995-06-12,160.69
673,1995-06-19,160.53
673,1995-06-26,160.43
673,1995-07-03,160.24
673,1995-07-10,160.08
673,1995-07-17,160.03
673,1995-07-24,160.09
673,1995-07-31,160
673,1995-08-07,159.85
673,1995-08-14,159.8
673,1995-08-21,159.77
673,1995-08-28,159.78
673,1995-09-04,160.06
673,1995-09-11,160.05
673,1995-09-18,160.19
673,1995-09-25,160.2
673,1995-10-02,160.15
673,1995-10-09,160.1
673,1995-10-16,159.98
673,1995-10-23,159.87
673,1995-10-30,159.8
673,1995-11-06,159.86
673,1995-11-13,159.83
673,1995-11-20,160.34
673,1995-11-27,160.46
673,1995-12-04,160.38
673,1995-12-11,160.18
673,1995-12-18,160.03
673,1995-12-25,160.64
673,1996-01-01,160.99
673,1996-01-08,160.54
673,1996-01-15,160.32
673,1996-01-22,160.15
673,1996-01-29,160.02
673,1996-02-05,159.92
673,1996-02-12,159.84
673,1996-02-19,159.97
673,1996-02-26,160.1
673,1996-03-04,160.03
673,1996-03-11,159.93
673,1996-03-18,159.86
673,1996-03-25,159.94
673,1996-04-01,160.05
673,1996-04-08,159.97
673,1996-04-15,159.92
673,1996-04-22,159.86
673,1996-04-29,159.79
673,1996-05-06,159.8
673,1996-05-13,159.78
673,1996-05-20,159.96
673,1996-05-27,160.41
673,1996-06-03,160.94
673,1996-06-10,160.87
673,1996-06-17,160.49
673,1996-06-24,160.26
673,1996-07-01,160.07
673,1996-07-08,160.09
673,1996-07-15,160.78
673,1996-07-22,160.35
673,1996-07-29,160.11
673,1996-08-05,159.92
673,1996-08-12,159.84
673,1996-08-19,159.81
673,1996-08-26,159.75
673,1996-09-02,159.72
673,1996-09-09,159.67
673,1996-09-16,159.67
673,1996-09-23,159.64
673,1996-09-30,159.64
673,1996-10-07,159.61
673,1996-10-14,159.59
673,1996-10-21,159.81
673,1996-10-28,159.95
673,1996-11-04,159.96
673,1996-11-11,160.34
673,1996-11-18,160.67
673,1996-11-25,160.68
673,1996-12-02,161.26
673,1996-12-09,160.96
673,1996-12-16,160.62
673,1996-12-23,160.53333333333
673,1996-12-30,160.44666666667
673,1997-01-06,160.36
673,1997-01-13,160.21
673,1997-01-20,160.06
673,1997-01-27,160.13
673,1997-02-03,160.05
673,1997-02-10,159.98
673,1997-02-17,160.11
673,1997-02-24,160.29
673,1997-03-03,160.72
673,1997-03-10,160.48
673,1997-03-17,160.24
673,1997-03-24,160.22
673,1997-03-31,160.24
673,1997-04-07,160.19
673,1997-04-14,160.1
673,1997-04-21,159.99
673,1997-04-28,159.91
673,1997-05-05,159.99
673,1997-05-12,160.12
673,1997-05-19,160.11
673,1997-05-26,160.04
673,1997-06-02,159.93
673,1997-06-09,159.86
673,1997-06-16,159.83
673,1997-06-23,160.02
673,1997-06-30,160.61
673,1997-07-07,160.39
673,1997-07-14,160.2
673,1997-07-21,160.25
673,1997-07-28,160.22
673,1997-08-04,160.11
673,1997-08-11,160.1
673,1997-08-18,159.96
673,1997-08-25,159.82
673,1997-09-01,159.78
673,1997-09-08,159.74
673,1997-09-15,159.7
673,1997-09-22,159.65
673,1997-09-29,159.59
673,1997-10-06,159.54
673,1997-10-13,159.57
673,1997-10-20,159.79
673,1997-10-27,159.72
673,1997-11-03,159.65
673,1997-11-10,159.61
673,1997-11-17,159.67
673,1997-11-24,159.64
673,1997-12-01,159.61
673,1997-12-08,159.63
673,1997-12-15,160.4
673,1997-12-22,160.74
673,1997-12-29,160.98
673,1998-01-05,160.77
673,1998-01-12,160.56
673,1998-01-19,160.41
673,1998-01-26,160.57
673,1998-02-02,160.35
673,1998-02-09,160.16
673,1998-02-16,160.05
673,1998-02-23,160.01
673,1998-03-02,160.11
673,1998-03-09,160.25
673,1998-03-16,160.5
673,1998-03-23,160.45
673,1998-03-30,160.36
673,1998-04-06,160.26
673,1998-04-13,160.4
673,1998-04-20,160.79
673,1998-04-27,160.66
673,1998-05-04,160.49
673,1998-05-11,160.27
673,1998-05-18,160.08
673,1998-05-25,159.95
673,1998-06-01,159.85
673,1998-06-08,159.89
673,1998-06-15,159.95
673,1998-06-22,159.9
673,1998-06-29,159.81
673,1998-07-06,159.73
673,1998-07-13,159.67
673,1998-07-20,159.63
673,1998-07-27,159.58
673,1998-08-03,159.62
673,1998-08-10,159.6
673,1998-08-17,159.52
673,1998-08-24,159.5
673,1998-08-31,159.55
673,1998-09-07,159.56
673,1998-09-14,159.63
673,1998-09-21,159.88
